ID_UC_G0,GC_UCN_MAI_2025,GC_UCN_LIS_2025,GC_CNT_GAD_2025,GC_CNT_UNN_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,GC_PLS_SCR_2025,GC_UCB_YOB_2025,GC_UCB_YOD_2025,GC_UCM_CAP
5542,Ghatail,Ghatail,Bangladesh,Bangladesh,22,86344.6849,Lower Middle,Central and Southern Asia,High,1995,2030,0
5543,Mang,Mang,China,China,19,50629.08435,Upper Middle,Eastern and South-Eastern Asia,High,2015,2025,0
5544,Mong Maw;Mongmao,Mong Maw;Mongmao,Myanmar,Myanmar,5,59193.6732,Lower Middle,Eastern and South-Eastern Asia,High,2020,2030,0
5545,Gia Kiệm,Gia Kiệm; Gia Tân 2; Gia Tân 3; Gia Tân 1,Vietnam,Viet Nam,23,129478.885,Lower Middle,Eastern and South-Eastern Asia,High,2000,2030,0
5546,Pangkalpinang,Pangkalpinang,Indonesia,Indonesia,58,289604.2111,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5547,해안2동,해안2동; 해안1동; 항구1동; 항구2동; 항구3동,North Korea,Dem. People's Republic of Korea,14,119222.4514,Low income,Eastern and South-Eastern Asia,High,1975,2030,0
5548,Ise,Ise,Japan,Japan,37,75470.88904,High income,Eastern and South-Eastern Asia,High,1975,2030,0
5549,Balingasag,Balingasag,Philippines,Philippines,26,59875.30377,Lower Middle,Eastern and South-Eastern Asia,High,2025,2030,0
5550,Huehuetoca,Huehuetoca,México,Mexico,16,60013.06101,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
5551,Ogden,Ogden,United States,United States of America,71,138934.1887,High income,Northern America,High,2000,2030,0
5552,Ourinhos,Ourinhos,Brazil,Brazil,30,105974.0589,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
5553,Aldershot,Aldershot,United Kingdom,United Kingdom,16,57655.8582,High income,Europe,High,1985,2030,0
5554,Akure,Akure,Nigeria,Nigeria,171,712937.9509,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
5555,Khenchela,Khenchela,Algeria,Algeria,25,160443.6963,Lower Middle,Northern Africa and Western Asia,High,1985,2030,0
5556,Cottbus - Chóśebuz,Cottbus - Chóśebuz,Germany,Germany,26,72345.6289,High income,Europe,High,1975,2030,0
5557,Luena,Luena,Democratic Republic of the Congo,Democratic Republic of the Congo,9,218416.51,Low income,Sub-Saharan Africa,High,2005,2030,0
5558,Atmeeda,Atmeeda,Egypt,Egypt,7,51029.79768,Lower Middle,Northern Africa and Western Asia,High,2025,2030,0
5559,Kayseri,Kayseri,Turkey,Turkey,160,893375.5148,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
5560,Zarechny,Zarechny,Russia,Russian Federation,11,54874.2833,Upper Middle,Europe,High,1975,2030,0
5561,Port Sudan,Port Sudan,Sudan,Sudan,101,536781.6733,Low income,Northern Africa and Western Asia,High,1980,2030,0
5562,Butajira,Butajira,Ethiopia,Ethiopia,18,95742.32944,Low income,Sub-Saharan Africa,High,2005,2030,0
5563,Babol,Babol,Iran,Iran (Islamic Republic of),46,230106.157,Lower Middle,Central and Southern Asia,High,1975,2030,0
5564,Nowshera,Nowshera,Pakistan,Pakistan,119,772117.4887,Lower Middle,Central and Southern Asia,High,1975,2030,0
5565,Palanpur,Palanpur,India,India,27,210965.8911,Lower Middle,Central and Southern Asia,High,1975,2030,0
5566,Elenga,Elenga,Bangladesh,Bangladesh,23,65517.14359,Lower Middle,Central and Southern Asia,High,2010,2030,0
5567,Jingning,Jingning,China,China,12,51699.53231,Upper Middle,Eastern and South-Eastern Asia,High,1980,2025,0
5568,Kyaikto,Kyaikto,Myanmar,Myanmar,7,74553.90396,Lower Middle,Eastern and South-Eastern Asia,High,1985,2030,0
