poi_type_id,amenity_id,lat,lon,name,amenity,category,geometry,index_right,ID_UC_G0,GC_CNT_GAD_2025,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_UCA_KM2_2025,UC_NM_CTR,x_proj,y_proj,node_ids,cluster
63.0,N42569116,51.4154352,5.4980211,"Eindhoven, Floraplein",stop_position,mobility,POINT (673703.013210545 5698985.290338438),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673703.013210545,5698985.290338438,42568870,12
63.0,N42575981,51.4181683,5.4964023,"Eindhoven, Pioenroosstraat",stop_position,mobility,POINT (673580.1069536391 5699285.342271513),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673580.1069536391,5699285.342271513,42575981,12
63.0,N42581436,51.4202698,5.4469944,"Eindhoven, Gagelbosch",stop_position,mobility,POINT (670137.3335974276 5699403.097886466),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670137.3335974276,5699403.097886466,1334972603,16
63.0,N42583774,51.4211445,5.442472,"Eindhoven, Akerendam",stop_position,mobility,POINT (669819.6943644414 5699489.861932703),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669819.6943644414,5699489.861932703,1132461899,16
64.0,N42697260,51.4639739,5.482425,"Generaal Hardenbergpad,",platform,mobility,POINT (672435.709706879 5704345.395295589),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672435.709706879,5704345.395295589,1973450946,13
63.0,N42698432,51.4644056,5.4706799,"Eindhoven, Catharina Ziekenhuis Zuid",stop_position,mobility,POINT (671618.3575622678 5704365.798261324),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671618.3575622678,5704365.798261324,9514083082,3
63.0,N42709200,51.4682114,5.4726295,"Eindhoven, WoensXL/Genovevalaan",stop_position,mobility,POINT (671739.4677604638 5704793.535416121),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671739.4677604638,5704793.535416121,11663176671,13
63.0,N42609951,51.4315081,5.5016109,"Eindhoven, Otto Veniusweg",stop_position,mobility,POINT (673891.5599396146 5700780.927239419),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673891.5599396146,5700780.927239419,42610017,9
63.0,N42619571,51.4355219,5.4746949,"Eindhoven, Grote Berg",stop_position,mobility,POINT (672005.7583592195 5701163.6600054),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672005.7583592195,5701163.6600054,12032936801,1
63.0,N42622076,51.436704,5.4839959,"Eindhoven, Smalle Haven",stop_position,mobility,POINT (672647.6839622692 5701316.980658626),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672647.6839622692,5701316.980658626,7255651067,46
64.0,N42626361,51.4385598,5.5028678,"Rembrandtplein,",platform,mobility,POINT (673952.119259058 5701567.980041093),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673952.119259058,5701567.980041093,42626610,0
63.0,N42628440,51.4393418,5.5185181,"Eindhoven, Generaal Cronjestraat",stop_position,mobility,POINT (675036.6867890891 5701692.217855324),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",675036.6867890891,5701692.217855324,11844311629,17
63.0,N42765410,51.487317,5.44926,"Eindhoven, Calaislaan",stop_position,mobility,POINT (670045.4418294681 5706863.327167082),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670045.4418294681,5706863.327167082,7235886848,15
63.0,N53277363,51.4512882,5.5120593,"Eindhoven, Van Oldenbarneveltlaan",stop_position,mobility,POINT (674542.2931273207 5703005.103191012),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",674542.2931273207,5703005.103191012,25547663,49
63.0,N53277364,51.4515364,5.5134037,"Eindhoven, Van Oldenbarneveltlaan",stop_position,mobility,POINT (674634.7436511079 5703035.905653481),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",674634.7436511079,5703035.905653481,42661455,49
22.0,N84201162,51.4364808,5.4775844,"De Karseboom,",cafe,food_choices,POINT (672202.9604751883 5701277.06903015),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672202.9604751883,5701277.06903015,42621143,1
22.0,N84201162,51.4364808,5.4775844,"De Karseboom,",restaurant,food_choices,POINT (672202.9604751883 5701277.06903015),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672202.9604751883,5701277.06903015,42621143,1
32.0,N119209139,51.4408406,5.4807205,"Pathé Eindhoven,",cinema,nightlife,POINT (672404.4807329248 5701769.209043103),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672404.4807329248,5701769.209043103,1270749919,1
64.0,N238240421,51.4264026,5.4935963,"St. Servaasweg,",platform,mobility,POINT (673353.8569467416 5700194.256781877),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673353.8569467416,5700194.256781877,42597600,20
63.0,N239964399,51.4388981,5.466081,"Eindhoven, Gagelstraat",stop_position,mobility,POINT (671394.4824815206 5701518.8627814995),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671394.4824815206,5701518.8627814995,10982897766,1
63.0,N239964413,51.4384579,5.4718245,"Eindhoven, Wilhelminaplein",stop_position,mobility,POINT (671795.2571790647 5701483.37411494),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671795.2571790647,5701483.37411494,42626077,1
63.0,N239964414,51.4384443,5.4719913,"Eindhoven, Wilhelminaplein",stop_position,mobility,POINT (671806.8994589808 5701482.25321803),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671806.8994589808,5701482.25321803,42625903,1
64.0,N243997387,51.4444952,5.521279,"Broekakkerseweg,",platform,mobility,POINT (675208.8114840724 5702271.817725728),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",675208.8114840724,5702271.817725728,5721773139,17
63.0,N256424595,51.4330285,5.4899277,"Eindhoven, Geldropseweg",stop_position,mobility,POINT (673073.8054851335 5700922.306081549),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673073.8054851335,5700922.306081549,1271066158,0
63.0,N268774302,51.4386012,5.4650556,"Eindhoven, Gagelstraat",stop_position,mobility,POINT (671324.3374678788 5701483.451508746),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671324.3374678788,5701483.451508746,4583616502,1
22.0,N303274482,51.4103226,5.4562079,"The Mart,",cafe,food_choices,POINT (670814.9387361401 5698318.516118266),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670814.9387361401,5698318.516118266,8742126849,16
22.0,N303274482,51.4103226,5.4562079,"The Mart,",restaurant,food_choices,POINT (670814.9387361401 5698318.516118266),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670814.9387361401,5698318.516118266,8742126849,16
5.0,N309684739,51.4667389,5.4947439,"ROC,",college,education,POINT (673280.8142996129 5704681.919830617),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673280.8142996129,5704681.919830617,6223042181,23
63.0,N318155748,51.4727495,5.4793763,"Eindhoven, Rooseveltlaan",stop_position,mobility,POINT (672190.9175051346 5705313.973459067),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672190.9175051346,5705313.973459067,1271724628,13
63.0,N318167163,51.4751784,5.4796125,"Eindhoven, Bisschop Bekkerslaan",stop_position,mobility,POINT (672198.169703462 5705584.597384555),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672198.169703462,5705584.597384555,6830119079,33
22.0,N338439574,51.4424895,5.434892,"Gemeenschapshuis de Lievendaal,",cafe,food_choices,POINT (669213.8376212545 5701845.662449832),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669213.8376212545,5701845.662449832,10743246423,8
22.0,N338439574,51.4424895,5.434892,"Gemeenschapshuis de Lievendaal,",restaurant,food_choices,POINT (669213.8376212545 5701845.662449832),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669213.8376212545,5701845.662449832,10743246423,8
22.0,N428570538,51.4463815,5.484243,"De Zwarte Doos,",cafe,food_choices,POINT (672628.350288529 5702393.594355702),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672628.350288529,5702393.594355702,54744495,31
22.0,N428570538,51.4463815,5.484243,"De Zwarte Doos,",restaurant,food_choices,POINT (672628.350288529 5702393.594355702),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672628.350288529,5702393.594355702,54744495,31
73.0,N429798201,51.443365,5.4786069,"Albert Heijn to go,",convenience,food_choices,POINT (672248.1096376005 5702044.921240778),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672248.1096376005,5702044.921240778,2701116192,1
23.0,N440931077,51.443043,5.4353329,"Cafetaria De Lievendaal,",fast_food,food_choices,POINT (669242.4272229477 5701908.224866055),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669242.4272229477,5701908.224866055,42638523,8
25.0,N446907490,51.4494391,5.4575443,"PopEi,",pub,nightlife,POINT (670761.9197012631 5702670.968049055),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670761.9197012631,5702670.968049055,8727824085,10
59.0,N446907518,51.4488989,5.4575198,"Health City,",sports_centre,active_living,POINT (670762.2335911798 5702610.846306076),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670762.2335911798,5702610.846306076,535988649,10
57.0,N446907522,51.4480328,5.456565,"Area 51,",pitch,active_living,POINT (670699.128810319 5702512.31892371),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670699.128810319,5702512.31892371,1909884822,10
84.0,N476507837,51.4886414,5.4402038,"Albert Heijn Jan Linders,",supermarket,food_choices,POINT (669411.8694139003 5706989.585997169),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669411.8694139003,5706989.585997169,42770126,15
84.0,N497947321,51.4186694,5.4392383,"ALDI,",supermarket,food_choices,POINT (669604.0570530279 5699207.165702),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669604.0570530279,5699207.165702,420826009,16
10.0,N501975668,51.4710142,5.473745,"Apotheek SGE Woensel,",pharmacy,health_wellbeing,POINT (671806.4031727997 5705107.795060172),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671806.4031727997,5705107.795060172,12222992590,13
22.0,N516797256,51.4371085,5.476181,"Mood,",cafe,food_choices,POINT (672103.071562571 5701343.563645368),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672103.071562571,5701343.563645368,1886079825,1
22.0,N516797256,51.4371085,5.476181,"Mood,",restaurant,food_choices,POINT (672103.071562571 5701343.563645368),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672103.071562571,5701343.563645368,1886079825,1
30.0,N516807954,51.4405502,5.4793471,"Fair Play Casino,",casino,nightlife,POINT (672310.1390721824 5701733.6875186255),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672310.1390721824,5701733.6875186255,6124781812,1
22.0,N525695763,51.4415602,5.5047149,"Time for Dinner Eindhoven,",cafe,food_choices,POINT (674069.0652950658 5701905.978990902),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",674069.0652950658,5701905.978990902,5229124064,0
22.0,N525695763,51.4415602,5.5047149,"Time for Dinner Eindhoven,",restaurant,food_choices,POINT (674069.0652950658 5701905.978990902),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",674069.0652950658,5701905.978990902,5229124064,0
23.0,N528939774,51.4405384,5.4966897,"Cafetaria de Tongelhoek,",fast_food,food_choices,POINT (673515.2939707632 5701773.322029592),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673515.2939707632,5701773.322029592,42631177,0
22.0,N530637257,51.4346418,5.4828334,"Karel1 Museumcafé,",cafe,food_choices,POINT (672574.6708234407 5701084.947206491),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672574.6708234407,5701084.947206491,9581538023,46
22.0,N530637257,51.4346418,5.4828334,"Karel1 Museumcafé,",restaurant,food_choices,POINT (672574.6708234407 5701084.947206491),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672574.6708234407,5701084.947206491,9581538023,46
29.0,N531679112,51.4376579,5.4805748,"Dynamo,",bar,nightlife,POINT (672406.3440558293 5701414.98484499),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672406.3440558293,5701414.98484499,42624230,1
10.0,N536671390,51.4431711,5.4411653,"Apotheek SGE Strijp,",pharmacy,health_wellbeing,POINT (669647.218014905 5701935.962843467),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669647.218014905,5701935.962843467,11847584501,8
8.0,N536671392,51.4432346,5.4413316,"Gezondheidscentrum Strijp,",doctors,health_wellbeing,POINT (669658.537969176 5701943.408640553),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669658.537969176,5701943.408640553,11847584502,8
22.0,N538236019,51.4365536,5.4777335,"K-Town,",cafe,food_choices,POINT (672213.0482627101 5701285.514164922),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672213.0482627101,5701285.514164922,42621143,1
22.0,N538236019,51.4365536,5.4777335,"K-Town,",restaurant,food_choices,POINT (672213.0482627101 5701285.514164922),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672213.0482627101,5701285.514164922,42621143,1
64.0,N557202274,51.4889988,5.4404477,"De Hoeve,",platform,mobility,POINT (669427.4746621407 5707029.890080096),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669427.4746621407,5707029.890080096,42772143,15
64.0,N557202278,51.4893951,5.4406072,"De Hoeve,",platform,mobility,POINT (669437.0767724086 5707074.324131126),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669437.0767724086,5707074.324131126,11843649331,15
22.0,N565735594,51.4430925,5.4550855,"Djawa,",cafe,food_choices,POINT (670614.7549979866 5701959.561383267),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670614.7549979866,5701959.561383267,9567992854,10
22.0,N565735594,51.4430925,5.4550855,"Djawa,",restaurant,food_choices,POINT (670614.7549979866 5701959.561383267),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670614.7549979866,5701959.561383267,9567992854,10
22.0,N567669422,51.4407669,5.4752552,"Café Restaurant Eindhoven,",cafe,food_choices,POINT (672024.9843522125 5701748.162719408),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672024.9843522125,5701748.162719408,42631746,1
22.0,N567669422,51.4407669,5.4752552,"Café Restaurant Eindhoven,",restaurant,food_choices,POINT (672024.9843522125 5701748.162719408),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672024.9843522125,5701748.162719408,42631746,1
22.0,N568077329,51.4335715,5.492756,"Iris,",cafe,food_choices,POINT (673268.3167429361 5700989.368583125),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673268.3167429361,5700989.368583125,8914748525,0
22.0,N568077329,51.4335715,5.492756,"Iris,",restaurant,food_choices,POINT (673268.3167429361 5700989.368583125),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673268.3167429361,5700989.368583125,8914748525,0
20.0,N586454620,51.4390148,5.4744454,"de Bibliotheek Eindhoven,",library,community_space,POINT (671975.2958349184 5701551.446424697),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671975.2958349184,5701551.446424697,42627534,1
16.0,N586912222,51.4188824,5.4418128,"Wijkgebouw 't Slot,",community_centre,community_space,POINT (669782.2525503985 5699236.812446921),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",669782.2525503985,5699236.812446921,10219529465,16
16.0,N586912231,51.4769852,5.4943509,"BIEB Dommelbeemd,",community_centre,community_space,POINT (673214.6957282131 5705820.2680244725),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673214.6957282131,5705820.2680244725,7125099966,4
47.0,N610994075,51.4400441,5.4802603,"ABN AMRO,",bank,community_space,POINT (672375.5020278831 5701679.56373198),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672375.5020278831,5701679.56373198,7255585965,1
64.0,N611114670,51.4374457,5.4912958,"DAF Museum,",platform,mobility,POINT (673152.1796679336 5701416.682647907),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673152.1796679336,5701416.682647907,2621685669,0
64.0,N611114675,51.4373151,5.4907919,"DAF Museum,",platform,mobility,POINT (673117.6560088859 5701400.970189527),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673117.6560088859,5701400.970189527,611581273,0
22.0,N616510426,51.4442889,5.453831,"Cafetaria Strijp,",cafe,food_choices,POINT (670523.1281780062 5702089.666698587),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670523.1281780062,5702089.666698587,11710942030,10
22.0,N616510426,51.4442889,5.453831,"Cafetaria Strijp,",restaurant,food_choices,POINT (670523.1281780062 5702089.666698587),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670523.1281780062,5702089.666698587,11710942030,10
63.0,N619776505,51.4535333,5.4709795,"Eindhoven, Sint Petruskerk",stop_position,mobility,POINT (671679.9691092398 5703157.615206201),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671679.9691092398,5703157.615206201,7380718834,18
64.0,N619776508,51.4555132,5.4708642,"Kloosterdreef,",platform,mobility,POINT (671664.5296140194 5703377.48880012),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671664.5296140194,5703377.48880012,8907178554,18
64.0,N619776519,51.4479665,5.4773337,"Gildelaan,",platform,mobility,POINT (672142.3316702279 5702553.564284636),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672142.3316702279,5702553.564284636,42652365,31
64.0,N619776524,51.4474099,5.4770688,"Gildelaan,",platform,mobility,POINT (672126.0208689957 5702491.05369964),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672126.0208689957,5702491.05369964,7372929388,31
64.0,N619776550,51.4394245,5.4955049,"Rubensstraat,",platform,mobility,POINT (673437.1850172665 5701646.662458279),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673437.1850172665,5701646.662458279,8891106549,0
64.0,N619776554,51.4390361,5.4973107,"Rubensstraat,",platform,mobility,POINT (673564.142945977 5701607.754764023),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673564.142945977,5701607.754764023,42627744,0
63.0,N619776563,51.439011,5.5136232,"Eindhoven, President Steynstraat",stop_position,mobility,POINT (674697.8030528317 5701643.7491683755),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",674697.8030528317,5701643.7491683755,4425893260,17
64.0,N619776581,51.4393005,5.5192403,"Generaal Cronjestraat,",platform,mobility,POINT (675087.0303858063 5701689.352106464),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",675087.0303858063,5701689.352106464,1563777268,17
64.0,N619776586,51.4411177,5.5224528,"Heerbaan,",platform,mobility,POINT (675303.3065596712 5701899.088413362),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",675303.3065596712,5701899.088413362,42633442,17
64.0,N619776602,51.4610217,5.4698443,"Joris Minnestraat,",platform,mobility,POINT (671573.0177139472 5703987.585487509),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671573.0177139472,5703987.585487509,42689131,3
64.0,N619776606,51.464379,5.4711115,"Catharina Ziekenhuis Zuid,",platform,mobility,POINT (671648.4330511484 5704363.852431663),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671648.4330511484,5704363.852431663,42698508,3
64.0,N619776658,51.4821642,5.454563,"Autowijk,",platform,mobility,POINT (670432.7809991012 5706302.7204845585),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670432.7809991012,5706302.7204845585,5504198061,15
64.0,N619776696,51.4687824,5.4785456,"WoensXL/Rooseveltlaan,",platform,mobility,POINT (672148.1706102487 5704870.919837582),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672148.1706102487,5704870.919837582,3055519769,13
64.0,N619776698,51.4699517,5.4790916,"WoensXL/Rooseveltlaan,",platform,mobility,POINT (672181.6844943238 5705002.217775847),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672181.6844943238,5705002.217775847,3055532806,13
63.0,N619776699,51.4789804,5.4779505,"Eindhoven, Belgiëplein",stop_position,mobility,POINT (672068.4544371102 5706003.4319800595),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672068.4544371102,5706003.4319800595,42739039,33
64.0,N619776702,51.4815526,5.4780063,"Leuvenlaan,",platform,mobility,POINT (672062.6448330617 5706289.56524912),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672062.6448330617,5706289.56524912,42747482,33
64.0,N619776704,51.4912361,5.4516245,"Castiliëlaan,",platform,mobility,POINT (670194.9809326786 5707304.589367013),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670194.9809326786,5707304.589367013,9929423861,15
64.0,N619813887,51.451447,5.4843212,"TU Eindhoven,",platform,mobility,POINT (672614.6728001407 5702957.006962524),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672614.6728001407,5702957.006962524,12688821494,31
64.0,N619813896,51.4508349,5.4831382,"TU Eindhoven,",platform,mobility,POINT (672534.7957751943 5702886.160047609),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672534.7957751943,5702886.160047609,11809677976,31
64.0,N619813929,51.468793,5.472259,"WoensXL/Genovevalaan,",platform,mobility,POINT (671711.5536431753 5704857.334198132),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671711.5536431753,5704857.334198132,765570013,13
64.0,N619813933,51.468245,5.472719,"WoensXL/Genovevalaan,",platform,mobility,POINT (671745.5570229747 5704797.48134871),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671745.5570229747,5704797.48134871,11663176671,13
64.0,N619863404,51.4733404,5.4927279,"Saturnusweg,",platform,mobility,POINT (673115.8085163468 5705411.165820648),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673115.8085163468,5705411.165820648,6294577903,23
64.0,N619863405,51.4734105,5.4924313,"Saturnusweg,",platform,mobility,POINT (673094.9476214465 5705418.258805427),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673094.9476214465,5705418.258805427,6294577905,23
64.0,N619863407,51.478206,5.4920011,"Wijnpeerstraat,",platform,mobility,POINT (673046.9202193549 5705950.450151897),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673046.9202193549,5705950.450151897,6777935406,4
64.0,N619863408,51.4830155,5.4927843,"Kruburg,",platform,mobility,POINT (673083.0837483024 5706487.067464585),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673083.0837483024,5706487.067464585,6777862835,4
64.0,N619863411,51.4779287,5.5007434,"Braambesweg,",platform,mobility,POINT (673654.9612287681 5705940.321423946),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673654.9612287681,5705940.321423946,7125099891,4
