category|osm_id|lat|lon|name
29|N2903874780|51.4795151|5.6522776|De Jongens
22|N2903875690|51.4831479|5.6663629|Soon Lee
29|N2903876931|51.4787620|5.6520702|Café de Vlegel
11|N2903878040|51.4805368|5.6590525|Savant de Ameide
29|N2903878051|51.4795782|5.6523750|De Bascule
29|N2903878059|51.4787108|5.6520805|De Kei
58|N2927449897|51.3565013|5.4468735|Speeltuin Geenhoven
49|N2929747254|51.3964500|5.4867367|Trinity Church Eindhoven
22|N2929747285|51.3906106|5.5051013|Hut van Mie Pils
59|N2929764725|51.3961909|5.4866253|Sporthal De Pracht
22|N2929768299|51.3950237|5.4765836|Mimo's
22|N2929768973|51.3951034|5.4766261|Rumah Makan
22|N2929832758|51.3952125|5.4761584|Brasserie Hoom
26|N2929818618|51.3959605|5.4766996|IJssalon Fresco
23|N2929818620|51.3959194|5.4766423|Pizzani
82|N2929818856|51.3968437|5.4740994|Aris Zwarthoed De Viswinkel
22|N2929819211|51.3958232|5.4764844|Cafe Daan
22|N2929819212|51.3957877|5.4764270|Grieks Restaurant OLYMPIA
71|N2929819215|51.3957137|5.4763015|P. van Tongerloo keurslager
22|N2929819571|51.3727628|5.4670410|De Treeswijkhoeve
22|N2929820231|51.3956572|5.4757238|Mr.Chang
23|N2929820392|51.3999017|5.4699313|Cafetaria 't Pleintje
22|N2929821370|51.3975153|5.4770373|Lugar
14|N2929822001|51.3995421|5.4753632|Dierenkliniek Waalre
84|N2929826237|51.3954500|5.4749158|Albert Heijn
1|N2929828276|51.3967878|5.4714570|Dondersteentjes
76|N2929829516|51.4047342|5.4686960|De Laarhoeve
10|N2929829564|51.3969396|5.4746962|Apotheek Aalst-Waalre
22|N2929829590|51.3953843|5.4752834|Lunchroom Den Hof
70|N2929832022|51.3948559|5.4755439|Godfried de Vocht De Echte Bakker
22|N2930059364|51.3920096|5.4599184|Brasserie 't Stationskoffiehuis
59|N2930060422|51.3963249|5.4411128|De Smient
23|N2930060476|51.3872407|5.4477381|'t Houten Kietje
16|N2930061762|51.3989807|5.4547977|Scouting Aalst-Waalre
22|N2931187681|51.3866400|5.4427398|De Doelen
22|N2931188278|51.3868674|5.4432262|Meester Keeman
23|N2931188627|51.3863164|5.4443668|Snackbar de Mert
59|N2931189290|51.3868633|5.4375655|RK Voetbal Vereniging Waalre
59|N2931189604|51.3876057|5.4395024|Sporthal Hoeveland
70|N2931190102|51.3869038|5.4457763|De Bakkerij Waalre
84|N2931190311|51.3870056|5.4463742|Lidl
59|N2931190928|51.3874246|5.4399233|WLTV
22|N2931191127|51.3874313|5.4418043|De Oude Toren
12|N2931191893|51.3855773|5.4424542|Het Andere Wonen Waalre
58|N2937254380|51.4142374|5.4013723|Speeltuin A.S.V. d'Ekker
22|N2966095539|51.5682640|5.3736656|Pannenkoekenhuis 't Struifhuis
84|N2984403027|51.3518977|5.4687834|Jumbo
23|N2990852066|51.4108746|5.4208049|Subway
22|N2992225591|51.4461998|5.5522392|De Collse Hoeve
22|N2931349379|51.3863762|5.4461765|Winkelcafe Carpe Diem
71|N2931349481|51.3864506|5.4467518|A.P.H. Vos keurslager
22|N2931351027|51.3800239|5.4425828|Café Herbergh 't Loon
53|N2931351054|51.3858049|5.4441863|Circles Waalre
22|N2931391279|51.3750832|5.4475850|Het Brabants Genot
22|N2992404882|51.4594259|5.5294236|De Watermolen van Opwetten
71|N2992719251|51.4649498|5.5504229|Chris Vogels keurslager
70|N2992719262|51.4649541|5.5502864|Bakkerij Vedder
7|N2992719523|51.4650124|5.5495032|De Tandarts Nuenen
16|N2992908496|51.4633056|5.5634598|Scouting Panta Rhei
16|N2992908646|51.4648191|5.5661371|RKSV Nuenen
16|N2992909286|51.4642829|5.5689131|Sint Annagilde Nuenen-Dorp
